Data;Temperatura (øC);Volume (L);Ve¡culo
05/08/2009;21;15101;DPE6600
05/08/2009;21;14714;DBL6258
05/08/2009;21;22129;DBL6349
05/08/2009;21;22129;DBL6290
05/08/2009;21;22129;DBL5928
05/08/2009;21;22129;DPE6609
05/08/2009;21;22129;DPE6350
05/08/2009;21;22129;EJV5911
05/08/2009;21;22129;DBL6040
05/08/2009;21;22086;DPE6599
05/08/2009;21;22072;DBL5418
05/08/2009;21;22072;DPE6350
05/08/2009;21;22072;EJV4400
05/08/2009;21;22072;DBL5478
05/08/2009;21;21129;DBL6298
05/08/2009;21;20924;EQU0220
05/08/2009;21;20690;DBL6048
05/08/2009;21;20527;EQU0220
05/08/2009;22;20527;EQU0230
05/08/2009;22;20527;DBL5418
05/08/2009;22;20512;EQU0220
05/08/2009;22;20231;DBL5928
06/08/2009;19;19208;DBL6048
06/08/2009;21;17268;EJV4555
06/08/2009;21;17085;DBL6282
06/08/2009;21;17085;EJV4433
06/08/2009;21;17085;DPE6600
06/08/2009;21;17085;DBL6280
07/08/2009;19;11487;COA0541
07/08/2009;19;11442;DBL6040
07/08/2009;20;11115;DPE6606
07/08/2009;20;10982;EJV4400
08/08/2009;19;4363;DPE6350
08/08/2009;19;4252;DBL6282
08/08/2009;21;3330;EFO4823
08/08/2009;21;3330;DPE6350
08/08/2009;21;3330;DBL6349
08/08/2009;30;23166;EQU0844
08/08/2009;30;20438;DPE6599
08/08/2009;28;18132;DBL6280
10/08/2009;18;17672;DBL6349
10/08/2009;19;17191;DBL6258
10/08/2009;19;17191;DBL5955
10/08/2009;19;17191;DPE6700
11/08/2009;17;13263;DBL5418
11/08/2009;17;12891;DBL6081
11/08/2009;17;12688;DBL5478
11/08/2009;17;12688;EJV5911
11/08/2009;18;12673;DPE6599
11/08/2009;18;12688;DBL6258
11/08/2009;18;12372;DBL6290
11/08/2009;18;11801;CVP6990
11/08/2009;18;11410;DBL5478
11/08/2009;18;11219;EJV4433
11/08/2009;18;11204;EQU0500
11/08/2009;18;10759;EJV5348
11/08/2009;18;10435;EJV5600
11/08/2009;18;10053;COA0541
11/08/2009;18;9398;DPE6700
12/08/2009;15;6544;DBL5478
12/08/2009;15;6343;EJV5348
12/08/2009;15;6064;DBL5966
12/08/2009;15;5483;DBL6280
12/08/2009;16;5006;DBL5929
12/08/2009;16;4460;EQU0500
12/08/2009;16;3942;DPE6350
12/08/2009;16;3848;DBL5504
12/08/2009;16;3455;DBL5928
12/08/2009;16;3228;DBL6258
12/08/2009;16;3025;DBL5955
12/08/2009;16;2630;EJV4567
12/08/2009;17;2503;EJV5348
12/08/2009;17;2503;DBL6048
12/08/2009;17;2503;EJV4567
12/08/2009;24;9615;EQU0231
13/08/2009;19;13172;EQU0230
13/08/2009;19;12858;EQU0844
13/08/2009;18;12858;DBL5928
13/08/2009;18;12858;CVP6990
13/08/2009;18;12858;DBL6048
13/08/2009;19;12342;EJV5922
13/08/2009;21;22158;COA0541
13/08/2009;21;21885;EJV4998
13/08/2009;21;21071;DBL6290
13/08/2009;21;21056;EJV4998
13/08/2009;21;20645;CVP6990
13/08/2009;21;20512;EQU0500
13/08/2009;21;19845;EJV4400
13/08/2009;21;19561;EJV5070
13/08/2009;22;19337;DBL5928
13/08/2009;22;18132;DBL5478
13/08/2009;22;17070;DBL6349
13/08/2009;22;16898;DPE6606
13/08/2009;22;16898;DPE6606
13/08/2009;22;16882;DBL5418
14/08/2009;18;13931;DPE6599
14/08/2009;18;13931;DPE6609
14/08/2009;18;13761;CVP6990
14/08/2009;18;13551;DBL5955
14/08/2009;18;13414;DBL5955
14/08/2009;18;13081;DPE6700
14/08/2009;19;12553;EQU0220
14/08/2009;19;12281;DPE6606
14/08/2009;20;22086;EJV5922
14/08/2009;20;21290;DBL5929
14/08/2009;20;20881;EJV4558
14/08/2009;20;20881;EQU0231
14/08/2009;21;18117;DBL5504
17/08/2009;17;16492;EQU0500
17/08/2009;17;15897;DBL6258
17/08/2009;17;15851;DPE6606
17/08/2009;17;15851;DBL5418
17/08/2009;18;15851;DKR3745
17/08/2009;18;15851;DBL6258
17/08/2009;18;15851;EJV5348
17/08/2009;19;15851;DBL5929
17/08/2009;19;15851;DBL5955
17/08/2009;19;15851;DPE6700
17/08/2009;19;15362;EFO4823
17/08/2009;19;15362;DKR3745
17/08/2009;20;15362;EQU0231
17/08/2009;20;15213;DBL5478
17/08/2009;20;15213;DBL6280
17/08/2009;20;15213;DBL6081
17/08/2009;20;15213;EJV5600
17/08/2009;20;15213;DBL6258
17/08/2009;20;15213;EJV5348
17/08/2009;21;15073;DBL6248
17/08/2009;21;15073;DBL5504
17/08/2009;21;25010;DBL5928
17/08/2009;21;25036;EJV4555
17/08/2009;21;25036;DBL6248
18/08/2009;19;24744;EJV5338
18/08/2009;20;24053;EQU0220
18/08/2009;20;23684;EJV5348
18/08/2009;20;23251;EQU0231
18/08/2009;20;23095;EQU0500
18/08/2009;20;22814;EJV5348
18/08/2009;20;22814;EJV4567
