Dados do abastecimento;;;;;;;;
Data;Temperatura (°C);Volume (L);Veículo;;;;;
05/08/2009;21;15101,00;DPE6600;;;;;
05/08/2009;21;14714,00;DBL6258;;;;;
05/08/2009;21;22129,00;DBL6349;;;;;
05/08/2009;21;22129,00;DBL6290;;;;;
05/08/2009;21;22129,00;DBL5928;;;;;
05/08/2009;21;22129,00;DPE6609;;;;;
05/08/2009;21;22129,00;DPE6350;;;;;
05/08/2009;21;22129,00;EJV5911;;;;;
05/08/2009;21;22129,00;DBL6040;;;;;
05/08/2009;21;22086,00;DPE6599;;;;;
05/08/2009;21;22072,00;DBL5418;;;;;
05/08/2009;21;22072,00;DPE6350;;;;;
05/08/2009;21;22072,00;EJV4400;;;;;
05/08/2009;21;22072,00;DBL5478;;;;;
05/08/2009;21;21129,00;DBL6298;;;;;
05/08/2009;21;20924,00;EQU0220;;;;;
05/08/2009;21;20690,00;DBL6048;;;;;
05/08/2009;21;20527,00;EQU0220;;;;;
05/08/2009;22;20527,00;EQU0230;;;;;
05/08/2009;22;20527,00;DBL5418;;;;;
05/08/2009;22;20512,00;EQU0220;;;;;
05/08/2009;22;20231,00;DBL5928;;;;;
06/08/2009;19;19208,00;DBL6048;;;;;
06/08/2009;21;17268,00;EJV4555;;;;;
06/08/2009;21;17085,00;DBL6282;;;;;
06/08/2009;21;17085,00;EJV4433;;;;;
06/08/2009;21;17085,00;DPE6600;;;;;
06/08/2009;21;17085,00;DBL6280;;;;;
07/08/2009;19;11487,00;COA0541;;;;;
07/08/2009;19;11442,00;DBL6040;;;;;
07/08/2009;20;11115,00;DPE6606;;;;;
07/08/2009;20;10982,00;EJV4400;;;;;
08/08/2009;19;4363,00;DPE6350;;;;;
08/08/2009;19;4252,00;DBL6282;;;;;
08/08/2009;21;3330,00;EFO4823;;;;;
08/08/2009;21;3330,00;DPE6350;;;;;
08/08/2009;21;3330,00;DBL6349;;;;;
08/08/2009;30;23166,00;EQU0844;;;;;
08/08/2009;30;20438,00;DPE6599;;;;;
08/08/2009;28;18132,00;DBL6280;;;;;
10/08/2009;18;17672,00;DBL6349;;;;;
10/08/2009;19;17191,00;DBL6258;;;;;
10/08/2009;19;17191,00;DBL5955;;;;;
10/08/2009;19;17191,00;DPE6700;;;;;
11/08/2009;17;13263,00;DBL5418;;;;;
11/08/2009;17;12891,00;DBL6081;;;;;
11/08/2009;17;12688,00;DBL5478;;;;;
11/08/2009;17;12688,00;EJV5911;;;;;
11/08/2009;18;12673,00;DPE6599;;;;;
11/08/2009;18;12688,00;DBL6258;;;;;
11/08/2009;18;12372,00;DBL6290;;;;;
11/08/2009;18;11801,00;CVP6990;;;;;
11/08/2009;18;11410,00;DBL5478;;;;;
11/08/2009;18;11219,00;EJV4433;;;;;
11/08/2009;18;11204,00;EQU0500;;;;;
11/08/2009;18;10759,00;EJV5348;;;;;
